StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Text / Graphic,Location,Activity,Occupancy,Indoor Air Quality_1,Perceived_1,Satisfaction_1,Description,Symptons,Symptons_5_TEXT,Cognitive,Cognitive_3_TEXT
2024-03-26 11:01:06,2024-03-26 11:01:44,IP Address,185.107.44.164,100,37,TRUE,2024-03-26 11:01:45,R_4uTCcBcFTpI0eai,,,,,52.3759,4.8975,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",,,,,,,,,,,
2024-03-28 14:03:09,2024-03-28 14:05:45,IP Address,145.109.22.122,100,156,TRUE,2024-03-28 14:05:46,R_8CIn4BdVolHL8lU,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),1 day a week,Not crowded,Neutral,Good,Satisfied,,None,,None,
2024-03-28 14:04:50,2024-03-28 14:07:54,IP Address,145.109.9.173,100,184,TRUE,2024-03-28 14:07:55,R_2QFyuyCGa26NetU,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),4 days a week,Crowded,Very aware,Poor,Dissatisfied,there needs to be more ventilation ,Other,foggy brain,Trouble with focus,
2024-03-28 14:07:44,2024-03-28 14:08:44,IP Address,80.233.53.168,100,60,TRUE,2024-03-28 14:08:45,R_3Tnsyv4GlTbNptE,,,,,53.3924,-6.3054,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),4 days a week,Not too crowded,Aware,Good,Satisfied,,,,,
2024-03-28 14:09:29,2024-03-28 14:10:39,IP Address,145.109.9.15,100,69,TRUE,2024-03-28 14:10:40,R_8mn1FKgZlEVHQ7s,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the ground floor (the atrium),2 days a week,Not too crowded,Unaware,Good,Satisfied,,None,,None,
2024-03-28 14:10:02,2024-03-28 14:11:30,IP Address,145.109.37.80,100,88,TRUE,2024-03-28 14:11:31,R_1GHSvKF32o6qDOR,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),1 day a week,Not crowded,Neutral,Good,Satisfied,,None,,None,
2024-03-28 14:10:01,2024-03-28 14:11:34,IP Address,145.109.40.38,100,93,TRUE,2024-03-28 14:11:34,R_18t13IbTrGJdgwp,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the ground floor (the atrium),3 days a week,Not crowded,Neutral,Good,Very satisfied,"I feel like I’m this building the air quiality is really good, maybe also because of the impression the high ceilings give",None,,None,
2024-03-28 14:15:48,2024-03-28 14:17:15,IP Address,77.63.122.115,100,87,TRUE,2024-03-28 14:17:15,R_5SWklZcLn8JZFfj,,,,,52.2179,5.1446,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the second floor (2th floor - in a working space),5 days a week,Not too crowded,Aware,Good,Satisfied,,None,,None,
2024-03-28 14:16:17,2024-03-28 14:18:01,IP Address,145.109.15.96,100,103,TRUE,2024-03-28 14:18:01,R_1Pv3hF9VawKwk4Q,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the second floor (2th floor - in a working space),4 days a week,Not crowded,Unaware,Good,Very satisfied,"I think it is good, although I must say that this is mostly based on the large amount of open space in the building and the plants that are present.",None,,None,
2024-03-28 15:20:12,2024-03-28 15:22:10,IP Address,46.34.234.9,100,117,TRUE,2024-03-28 15:22:11,R_4guoIiE2GEpuc3N,,,,,48.4092,18.1482,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),1 day a week,Not crowded,Unaware,Acceptable,Neither dissaitisfied or satisfied,Its really cold in here so the air seems cold and it makes me sick,None,,Other,I feel sick bcs of the cold
